rank_cohens_d,feature,in_model,n_fraud,n_legit,mean_fraud,mean_legit,median_fraud,median_legit,u_statistic,p_value,p_adjusted,significant,cohens_d,abs_cohens_d,effect_size,cliffs_delta,abs_cliffs_delta,cliff_size,pearson_r,rank_cliffs_delta,rank_pearson
21,Time,False,473,283253,80450.51374207188,94835.05809294165,73408.0,84711.0,55697454.0,2.2333299415120161e-10,3.0454499202436585e-10,True,-0.302975995846995,0.302975995846995,nhỏ,-0.16856236271461988,0.16856236271461988,nhỏ,-0.012359339838081214,22,21
22,V28,True,473,283253,0.07827024722452902,0.00041752371998400763,0.145895338821258,0.0112380821971148,86597204.0,3.173666125126738e-28,4.533808750181055e-28,True,0.23734732140715545,0.23734732140715545,nhỏ,0.292701362781862,0.292701362781862,nhỏ,0.009682426330025683,21,22
23,V24,True,473,283253,-0.10664298008218374,0.00039264606195942465,-0.0612634320139128,0.0411148380607056,58362910.0,1.2548176939683109e-06,1.6367187312630143e-06,True,-0.1767395990273304,0.1767395990273304,không đáng kể,-0.12877310342588943,0.12877310342588943,không đáng kể,-0.007210125120706764,23,23
24,V23,True,473,283253,-0.09646415866751903,0.00035958571960008497,-0.0750342624995709,-0.0110774872518417,61509979.0,0.0020798247544635577,0.002495789705356269,True,-0.15524313986341037,0.15524313986341037,không đáng kể,-0.08179444595019825,0.08179444595019825,không đáng kể,-0.00633321064302292,25,24
25,Amount,True,473,283253,123.87186046511628,88.41357475472458,9.82,22.0,59517129.5,2.68609023836721e-05,3.3576127979590126e-05,True,0.14160900414597297,0.14160900414597297,không đáng kể,-0.11154320394091988,0.11154320394091988,không đáng kể,0.005777019670480937,24,25
26,V22,True,473,283253,0.0866387566862272,-0.0001597294372844127,0.0551792270194195,0.0066748951611519,69314702.0,0.19137792581806656,0.1979771646393792,False,0.11979754884230728,0.11979754884230728,không đáng kể,0.03471250337619036,0.03471250337619036,không đáng kể,0.0048872321638306696,29,26
27,V26,True,473,283253,0.05045623023325889,6.54345239241635e-05,0.0127924878401756,-0.0522930418044796,72036301.0,0.004573233360948331,0.00527680772417115,True,0.10453450412524493,0.10453450412524493,không đáng kể,0.07533985130125442,0.07533985130125442,không đáng kể,0.0042645767912485415,26,27
28,V13,True,473,283253,-0.09432409141080232,0.000761893766372863,-0.0636341960877915,-0.0129048229995074,64039341.0,0.09742620901537977,0.10438522394504976,False,-0.09552311494917372,0.09552311494917372,không đáng kể,-0.044036763792600464,0.044036763792600464,không đáng kể,-0.0038969551114300884,28,28
29,V15,True,473,283253,-0.07282957384768347,0.0011661964990720805,-0.0386320690669864,0.0494352367227637,65015403.0,0.26740497551450615,0.26740497551450615,False,-0.08087939410888911,0.08087939410888911,không đáng kể,-0.029466354826976238,0.029466354826976238,không đáng kể,-0.0032995578711374,30,29
30,V25,True,473,283253,0.04061511665754739,-0.0003005976324783138,0.0779134112043686,0.0161898202982954,71299741.0,0.01544328740122879,0.017159208223587543,True,0.07850010963080013,0.07850010963080013,không đáng kể,0.0643446681799773,0.0643446681799773,không đáng kể,0.0032024935301103903,27,30
